Absicht (jegliche beliebige Absichten);Möglich (Handlungsmöglichkeit = 4 / 2 = (1/4)/(1/2)= etwas schaffen pro Möglichkeit);benötigen;schaffen;taugen wollen und deshalb streben;einschätzen;vergüten;beurteilen;die potenziellen Mittel haben wollen;definieren;zu unterscheiden (tun) (das umgekehrte zu anders [11] sein wollen) (größtenteils sicher);Beschaffenheit bestimmen (halb sicher), sich einer Ordnung unterwerfen (größtenteils sicher);Rezepte anwenden, Instruktionen umsetzen (halb sicher);analysieren  (größtenteils sicher);extrovertiert sein, Respekt in anderen sehen (d.h. umgekehrter Selbstrespekt) (größtenteils sicher);alle und du sind okay, eine Rolle spielen  (größtenteils sicher);"die Richtung bestimmen wollen, wo wer oder was sich wo hin bewegt; sehen wollen, ob sich etwas zum guten oder etc. wendet (sicher)";aussöhnen, taktvoll sein, sich eingliedern (ziemlich sicher);Voraussetzungen schaffen, sich verwirklichen (halb sicher);Meta-Rationalität (besonders im Judentum bekannter Begriff), prognostizieren, rekonstruieren, spekulieren (also nach der Klassifizierung [20] wieder die Umkehroperation [1/20] dessen zu tun) (größtenteils sicher);Pionierarbeit leisten wollen (etwas erstmaliges, das noch niemand getan hat) (größtenteils sicher)
Können (bzw,. „Können wollen“) (Allein die Fähigkeit besitzen wollen, sich fortpflanzen zu können);;"Brauchbarkeit, brauchen (2/[1/3] und 2/3) (größtenteils sicher); Zeugnis abgeben [4/(1/6)]; der Wirkstoff [6/(1/9)]; sich einer Rechtssprechungsart unterwerfen  [8/(1/12)]";;"zu etwas passen wollen, passend sein wollen (2/5) (sicher); Erstellung [4/(1/10)]";;"Leistungsvermögen (oder Ressourcen) besitzen und über dieses verfügen dürfen, bzw. mehr Haben als Soll zu besitzen, mit welchem man sich für Gutes revanchieren könnte (2/7); zergliedern (4/14)";;"Kompetenz (2/9 und 2/[1/9]); schlichten oder als Mediator tätig sein (4/18)";;;;;;;;;;;;
Nutzen;"Verwenden (3/2) (größtenteils sicher); griffbereit [3*(1/2)] (größtenteils sicher); investieren [6/(1/4)]; Investitionssumme bestimmen [9/(1/6)]; die Anordnung oder der Erlass [12/(1/8)]";;"entwickeln, sich heranbilden, herausbilden, sich bilden (sicher) (3/4), Wenn ich etwas benötigen sollte, kann damit überhaupt etwas erreichen? ([1/4]/[1/3]), Selbstkritik und respektvoll sein (6/8) und Frage nach Wucher oder Schnäppchen (6/8), Zusammenhänge real, irreal, möglich, unmöglich (9/12), Rechtmäßigkeit und Musterung (1/8)/(1/6)   (ich bin mir sehr sicher); Subsidiarität (12/16); Zuständigkeit oder auch investigativ sein [(1/16)/(1/12)]";"Verwendbarkeit (3/5 und 3/[1/5]) (größtenteils sicher); das Privileg (6/10); Gegebenheit (9/15)";;engagieren, sich (für etwas oder jemanden) einsetzen oder etwas / jemand einsetzen für das Engagement (3/7);Beweismittel heranziehen (3/8);;Amortisation (zu wollen, dass sich etwas mit einer Bedeutung lohnt, d.h. nützt) (unsicher) (3/10);;;;;;;;;;;
"„erschaffen“, „betätigen (machen) bzw. durchführen“;  oder „verändern“";;"entwickeln, etwas bilden (sicher) (4/3); Verliehen oder gestohlen oder Eigentum im Besitz (8/6) Respekt bekommen (ist hier eigentlich nur ein Aspekt) (8/6); Ordnungsmittel [12/(1/9)]";;"Testen, d.h. u.a. sich in Dingen probieren (4/5 und 4*[1/5]); rechthaberisch sein (8/10), unabhängig davon, wie sehr es stimmt; Rechtsverständnis wollen [8*(1/10)]";;Lohn generieren (4/7);;beispielsweise ein Schwert oder Werkzeuge schmieden: „Sich Mittel machen“ (4/9);;;;;;;;;;;;
Selbstsucht (nicht Egoismus);"anerkennend annehmen wollen (5/2) (sicher); Verwirklichung und Vollbringung (10/4); intuitiv sein [15/(1/8)];achtsam sein wollen (10/4)";"der Bedarf (5/3 und 5/[1/3]) (sicher); die Relevanz (10/6); für Umstände sorgen (15/9)";"5/4 selbstständig sein wollen; Zeuge sein wollen (10/8); Anstellung erhalten wollen bzw. genauer, infrage gekommen sein (5/[1/4] und 5/4) (größtenteils sicher); eine Verordnung oder Rechtsnorm, verordnen wollen (10/8)";;jemanden oder etwas begehren (5/6) (halb sicher);parteiisch sein für die Geltung und das Infragekommen (5/7);"Autonomie wollen; Rechtssprechung - Urteile gültig wollen (5/8); die rote Pille aus dem Film Matrix nehmen wollen (10/16)";;;;;;;;;;;;;
Vorteil;;;;ausbeuten wollen (sowohl im guten, als auch im nicht so guten Sinn, d.h. zunächst neutral) (6/5);;"parteiisch sein wer welche Vorteile und Nachteile erhalten soll; Nehmen (das bringt es auf den Punkt.); (wo ich noch am Denken war:) Vorteile daraus gewinnen, angeführt zu werden; mehr Vorteile bei wenig angeführt werden (= Liberalismus), mehr Nachteile bei viel Führung und Richtung (= Bürokratie) (6/7); Selektieren [aus einem Märchen: „die guten ins Töpfchen, die schlechten ins Kröpfchen“] (12/14); Verständnis aufbringen für ggf. nicht mental nachvollziehbares  (= sich zugeneigt relaten zu können pro Hingabe und Widmung oder mal Pionierarbeit in neuem Terrain zu leisten) (18/21);";;;;;;;;;;Vorteile aus Spielwetten erzielen wollen, als Bank oder Spieler (halb bis größtenteils sicher);;;;
"Selbstlosigkeit (als Liebe oder ohne) (Wölfe, Hunde) (dein Selbst von anderen abhängig machen, anderen zu überlassen, geben) oder „friedfertige Gutmütigkeit und Positivität zu anderen“ (Kühe), vielleicht etc. (das sind schon 3 Arten des Guten); Dazu bereit sein, Teil von Synergieeffekten zu werden";"die positive Zugewandtheit einer Person gegenüber einer anderen (7/2); die Problemlösung, bzw. die Invariante (1 / 4) des Problemlösens (14/4)";Alle Fälle, in denen Selbstlosigkeit benötigt und gebraucht wird, nicht nur Gemeinwohl oder Ehrenamt oder Feuerwehr (7*[1/3]);Güte oder zweckgerichtet gutmütig sein (7/4);unparteiisch sein gegenüber der Geltung und dem Infragekommen (7/5);"unparteiisch sein wer welche Vorteile und Nachteile erhalten soll; Geben (das bringt es auf den Punkt.); (wo ich noch am Denken war:) Anführen, wenn Menschen Vorteile daraus gewinnen, entweder mehr Führung und weniger Vorteile (= Bürokratie) oder mehr Vorteile und weniger Führung (= Liberalismus) (7/6); (herum-) Knobeln (=Probleme lösen, entweder mal sich einer Ordnung zu unterwerfen oder pro sich zu sortieren) (14/12); jemanden (in z.B. Meinungsverschiedenheiten oder Konflikten) taktisch entgegenkommen und taktisch nachzugeben (21/18);";;unbefangen sein (d.h. selbstlos beurteilen) (7/8);;Fürsorge (sicher) (7/10);;;;;;;;;;;
Selbstgerechtigkeit;;seine Ansprüche existent haben wollen – d.h. seine Ansprüche haben (8/3);;Seine Ansprüche kausal ganzheitlich geltend machen wollen (8/5);;von sich und von seinen eigenen Gedanken wie blind eingenommen zu sein (8/7);;;;;;;;Persönlichkeit zeigen [8/(1/15)];;;;;;
Zweck;"Wagnis (9/2 und 9/[1/2]); So etwas wie der Liebesbeweis oder Liebesnachweis (18/4)";;überhaupt etwas erreichen wollen (9/4);;;;;;;;;;;;;;;;;
"Bedeutung [Verstand, verstehen (-10 durch 8 typisiert) (Mensch); Vernunft, rationalisieren (+10 durch 12 typisiert) (Mensch); Erkenntnis gewinnen wollen (10 durch 10 typisiert) Religion 10, Wille vieler Philosophen, Greifvogel wie Adler; Pferd (10 durch 7 typisiert)]";;Rätseln (10/3);;;;Vertrauen (sicher) (10/7);;;;;;;;;;;;;;
Die Identität alles Fremden annehmen und ausprobieren wollen, diese spielerisch leugnend erfassen;;;;;;;;;;;;;;;;;;;;
"(sich) sortieren; Sachlichkeit und Ordnung herrichten wollen; die substanziellen Eigenschaften von Individuen verinnerlichen wollen; den Wesenskern herauskristalisieren wollen";;;;;;;;;;;;;;;;;;;;
"echtes Helfen (Ich-Vollheit) oder extrinsisch Existenz beenden lassen, hauptsächlich wenn zur schwarzen Sonne geworden; die Denkansätze anderer Menschen (weil man das fürs Helfen muss) verinnerlichen wollen";;;;;;;;;;;;;;;;;;;;
"Lösen von echten Problemen (Ich-Losigkeit, dein Ich von anderen abhängig machen, es zu überlassen); Synergieeffekte herstellen wollen";;;;;;;;;;;;;;;;;;;;
Selbstrespekt, nachhaltigen Nutzen generieren , reflexives Weltverständnis, Herrschaftsgebiete aufteilen wollen, dabei ggf. delegieren;;;;;;;;;;;;;;;;;;;;
Selbstgenügsamkeit: Anforderungen genügen, überhaupt und allgemein;;;;;;;;;;;;;;;;;;;;
"Abneigung (eine sittliche Position beibehalten) = Meinungen haben überhaupt, und da andere Meinungen haben überhaupt; Abneigung = Prozess, dass alle sich positionieren durch ihre Meinung";;;;;Wahrscheinlichkeiten von Spielwetten oder anderen Unsicherheiten über Geld oder andere Vorteile bestimmen wollen (halb bis größtenteils sicher);;;;;;;;;;;;;;;
Zuneigung (sich zu anderen Menschen „relaten“ zu können) zu nahezu allen Meinungen (17) (oder auch andere n), die es überhaupt gibt, und insbesondere zu (zu Relationen von Meinungen) der Beziehung selbst, die zwischen Menschen da ist, statt direkt den Menschen, die Meinungen haben, als wie so eine Art Gruppenintiminität;;;;;;;;;;;;;;;;;;;;
Fan sein, andere motivieren und anspornen wollen;;;;;;;;;;;;;;;;;;;;
Familienliebe oder Familienrespekt oder beides und mehr, nicht zu Einzelpersonen (ich bin mir sicher);;;;;;;;;;;;;;;;;;;;Sein Berufsleben dafür opfern, dass man besser pro seiner Familie ist – feige im Berufsleben zu sein und mutig im Familienleben
