Absicht;Möglich (Handlungsmöglichkeit = 4 / 2 = (1/4)/(1/2)= etwas schaffen pro Möglichkeit);benötigen;schaffen;taugen;einschätzen;vergüten;beurteilen;Formen / Das Mittel;definieren;zu unterscheiden (tun);Beschaffenheit (stimmt wahrscheinlich)
Können;;Brauchbarkeit (2/[1/3] und 2/3);;Tugend [2*(1/5)];;;;Kompetenz (2/9 und 2/[1/9]);;;
Nutzen;"Das Potenzial (das man hat) [3*(1/2)]; die kostbare Fülle, wertvolle Zeitmomente (6/4) („Zeit=Geld“) ";;"Nachhaltigkeit und bedacht über etwas sein (3/4), Wenn ich etwas benötigen sollte, kann damit überhaupt etwas erreichen? ([1/4]/[1/3]), Selbstkritik und respektvoll sein (6/8) und Frage nach Wucher oder Schnäppchen (6/8), Zusammenhänge real, irreal, möglich, unmöglich (9/12), Rechtmäßigkeit und Musterung (1/8)/(1/6)   (ich bin mir sehr sicher); Subsidiarität (12/16); Zuständigkeit oder auch investigativ sein [(1/16)/(1/12)]";Verwendbarkeit (3/5 und 3/[1/5]);;;z.B. die so genannte unsichtbare Hand des Marktes (nach Adam Smith), bzw. alles was daran nützlich ist, wenn Menschen selbstgerecht Besitz beanspruchen (so etwas in der Art);;Fachrichtung (das passt hier gut);;
Erschaffen bzw. machen;;"Konfigurieren und Verwenden (4/3=machen pro nutzen); Verliehen oder gestohlen oder Eigentum im Besitz (8/6)";;Testen (4/5 und 4/[1/5]);;kompensieren;;;;;Veränderung einer Ordnung (ist hier eigentlich nur ein Aspekt)
Selbstsucht;Anerkennung (5/2);die Regelung (5/3 und 5/[1/3]);beeindrucken wollen, nur für seine Selbstsucht (5/[1/4] und 5/4) (größtenteils sicher);;;Regulieren als Abwickeln;;;;;
Vorteil;;;;;Verhaltensänderung wegen anderer Selbsteinschätzung (ist hier eigentlich nur ein Aspekt);"Nehmen (das bringt es auf den Punkt.); (wo ich noch am Denken war:) Vorteile daraus gewinnen, angeführt zu werden; mehr Vorteile bei wenig angeführt werden (= Liberalismus), mehr Nachteile bei viel Führung und Richtung (= Bürokratie)";Tätigkeitsnutzen(3/4), Wenn ich etwas benötigen sollte, kann damit überhaupt etwas erreichen? ([1/4]/[1/3]), Selbstkritik und respektvoll sein (6/8), Zusammenhänge real, irreal, möglich, unmöglich (9/12), Rechtmäßigkeit und Musterung (1/8)/(1/6)  (ich bin mir sehr sicher);;;;
Selbstlosigkeit, dein Selbst von anderen abhängig machen, anderen zu überlassen;"dass einem etwas gefällt; Freude (größtenteils sicher); der Bonus (einigermaßen sicher) (7/2); Mühe (21/6) (nicht sicher)";Gemeinnützigkeit und größtenteils auch Gemeinwohl (7*[1/3]);Güte;;"Geben (das bringt es auf den Punkt.); (wo ich noch am Denken war:) Anführen, wenn Menschen Vorteile daraus gewinnen, entweder mehr Führung und weniger Vorteile (= Bürokratie) oder mehr Vorteile und weniger Führung (= Liberalismus)";;;;Fürsorge (100% ja, ich bin mir sicher);;
Selbstgerechtigkeit;;"Gier eines Produzenten (unsicher), Nützlichkeit des Besitzes (ist hier eigentlich nur ein Aspekt) (unsicher); Vehemenz (emotional) (8/3) (größtenteils sicher)";;;Respekt bekommen (ist hier eigentlich nur ein Aspekt);;Verhaltensänderung wegen anderer Selbstbeurteilung, respektvoll sein  (100% ja ,ist hier eigentlich nur ein Aspekt);;Auslegungshoheit (ist hier eigentlich nur ein Aspekt);;
Zweck;Wagnis (9/2 und 9/[1/2]);;;;;;;;;;Tätigkeitsnutzen(3/4), Wenn ich etwas benötigen sollte, kann damit überhaupt etwas erreichen? ([1/4]/[1/3]), Selbstkritik und respektvoll sein (6/8), Zusammenhänge real, irreal, möglich, unmöglich (9/12), Rechtmäßigkeit und Musterung (1/8)/(1/6)  (Ich bin mir sehr sicher)
Bedeutung;;rätseln;konstruieren;;;Vertrauen (100% ja, ich bin mir sicher);Anspruchskonsequenzen (ist hier eigentlich nur ein Aspekt);;;;Die Wahrheit über mich durch innere Versenkung (ist hier eigentlich nur ein Aspekt)
spielerisch leugnend erfassen;;;;;;;;;;;
sich sortieren;;;;;;;;;;;
echtes Helfen (Ich-Vollheit) oder extrinsisch Existenz beenden lassen, hauptsächlich wenn zur schwarzen Sonne geworden;;;;;;;;;;;
Lösen von echten Problemen (Ich-Losigkeit, dein Ich von anderen abhängig machen, es zu überlassen);;;;;;;;;;;
Selbstrespekt, nachhaltigen Nutzen generieren , reflexives Weltverständnis;;;;;;;;;;;
Selbstgenügsamkeit: Anforderungen genügen, überhaupt und allgemein;;;;;Wert von Evolutionen (ist hier eigentlich nur ein Aspekt);;;;;;
