inneres Licht (unsicher);?;?;?;Licht außerhalb und um den Nachttisch;Licht außerhalb und um den Raum und um das Haus;Licht außerhalb der Laterne und außerhalb der Straße;Licht außerhalb des Dorfes;Licht außerhalb der Stadt;Licht außerhalb der Sonne, außerhalb von Sternen, z.B. im Sonnensystem ohne die Sonne;Licht außerhalb von Monden;Licht außerhalb von Planeten;Licht außerhalb von schwarzen Löchern;Licht außerhalb der Galaxie;Licht außerhalb des Universums;Licht außerhalb des Multiversum (Wo soll das sein?)
äußeres Licht (unsicher);;Kunde;;;;;;;;;;;;;
nahes Licht (unsicher);Behörde oder Exekutive;;Personal;;;;;;;;;;;;
allgegenwärtiges Licht (unsicher);;Bürger;;;;;;;;;;;;;
Nachttisch-Licht;;;;;;;;;;;;;;;
Raumlicht;;;;;;Empfänger von Spenden und ggf. Sozialhilfeempfänger;;;;;;;;;
Laternenlicht;;;;;Spender;;;;;;;;;;
Dorflicht;;;;;;;;;;;;;;;
Stadtlicht;;;;;;;;;;;;;;;
Tageslicht (der Sonne);;;;;;;;;;;;;;;
Nachtlicht des Mondes;;;;;;;;;;;;;;;
Nachtlicht der Planeten;;;;;;;;;;;;;;;
totale Finsternis des Schwarzes Loches: Licht absaugen;;;;;;;;;;;;;;;
Nachtlicht des Galaxielichts;;;;;;;;;;;;;;;
Nacht und Dunkelheit des Universumlichts;;;;;;;;;;;;;;;
Licht oder nicht vorhandenes Licht des Multiversums;;;;;;;;;;;;;;;
