Identität, z.B. mathematisch;1 / 2 Art und Weise (fast sicher),2 / 4 die Gegebenheit (Ausgangslage) (sicher), 3/6 die Beschaffenheit (stimmt wahrscheinlich), 4/8 die Begebenheit (stimmt wahrscheinlich), 5/10 ganzer schlüssiger Wahrheitsumriss (ungefähr so etwas), (1/4)/(1/2) die Erkennungsgestaltung (fast sicher), (1/6)/(1/3) die Beschaffenheit (sicher), (1/8)/(1/4) das Naturgesetz (nicht 100% sicher);"1/3 die Bedingung (größtenteils sicher) , 2/6 das Messbare (sicher), 3/9 erfassbar (mensurabel) (sicher),4/12 der jeweils abstrakte Grundgedanke über Messung (sicher), (1/6)/(1/2) die Eignung zum Messen (größtenteils sicher), (warum immer ""Messen"": wegen der 6 [der Wert] bei 2/6 [, was der Einstieg in die ganzen Überlegungen ist])";1/4 Manifestation (bin mir fast sicher), 2/8 das prinzipiell Erfassbare (bin mir fast sicher), 3/12 das real existierende aus jeweiliger Abstraktion (größtenteils sicher), (1/8)/(1/2) das Zusammentreffen von Angelegenheiten (passt gut);1/5 das (mathematisch) Kontinuierliche (größtenteils sicher), 2/10 die Gegenstände von der Wahrheit (z.B. von der Logik) (größtenteils sicher), 5/25 das (minimalste) Informationsatom, atomare Übertragung (sehr sicher), 3/15 die Frage ob etwas existiert (z.B. Anomalie im schwarzen Loch) wenn man dividiert, Rekursion betreibt (irgendwie so etwas);1/6 das Pure (bin mir fast sicher), 2/12 das Essenzielle und damit das Wesensmerkmal (von ggf. mehreren von einem Wesen) (größtenteils sicher), 3/18 das real existierende von einem Bezug von z.B. Meinungen (passt gut), (1/12)/(1/2) die elementare Grundlage für die Existenz von Lebewesen, Gattungen, Arten, Spezies (größtenteils sicher);"1/7 Position (mathematisch),d.h.: „Lage, Situation, Gegebenheit“ (komplementär zu 7=Richtung selbst); „günstig-gelegen“ (komplementär zu 7=das Gute) (bin mir sehr sicher), 2/14 Operanden und Operation, nicht unbedingt das Ergebnis (größtenteils sicher), 3/21 Ressourcen und Umstände (einigermaßen sicher), (1/14)/(1/2) die Bestandsaufnahme und Rekapitulation";1/8 das Prinzip (bin mir sehr sicher), 2/16 Bestandteile einer Analysis-Funktion, d.h. beide Mengen und die Abbildung dazwischen (kann das ja nur sein), (1/16)/(1/2) die Anpassung (einer Rolle auf einer Gegebenheit) (größtenteils sicher), 3/24 die Verbindung zwischen mindestens 2 Knoten (fast größtenteils sicher) ;1/9 die Problematik-Angelegenheit (nicht unbedingt die Lösung) (halte ich für sehr wahrscheinlich), 2/18 die 2 Dinge des Vergleichs und der Relationstyp (oft Ungleichheit) (sehr wahrscheinlich), 3/27 vorhandenes Livelock- oder Deadlock-Problem (größtenteils sicher), (1/18)/(1/2) Gestaltungsproblemstellung (größtenteils sicher);1/10 das Objekt (bin mir sehr sicher), 2/20 die Objekte einer Klasse und die logische Aussage, die die Objekte der Klasse bestimmt (sehr wahrscheinlich), (1/20)/(1/2) die Metawahrheitsformung (irgendwie so etwas);1/11 Merkmal (sehr wahrscheinlich), 2/22 alle einzelnen UML-Diagramm-Bestandteile (Softwareentwicklung) (sehr sicher);1/12 Gattung bzw. Art einer Einteilung, nur abstrakte - nie konkrete Universalien (sehr wahrscheinlich), 2/24 Knoten und Kanten eines Netzwerkes, ggf. Maschen (sehr sicher);1/13 die Instruktion, Handlungsanweisung, Gebrauchsanweisung, der Befehl (größtenteils sicher), 2/26: 2 Punkte und 2 Richtungen (sehr sicher);1/14 die Analyse (größtenteils sicher), 2/28 Nachbarschaften und Axiome (d.h. die Bestandteile von topologischen Räumen) (sicher);Extraversion (bin mir unsicher);die Rolle (z.B. in der Gesellschaft, vielleicht Archetypen) (halte ich für sehr wahrscheinlich);1/17 die Richtung (in Denkvorgängen, statt wie bei der 7 als Richtung des Anführers) (größtenteils sicher), 2/34 die nur wesentlichen Bestandteile von: kontravarianter Funktor und Adjunkionen (nicht 100% sicher, passt aber gut);die Gliederung (nicht total sicher), Integralrechnung (nicht total sicher) (wenn 18. Differentialrechnung ist, dann ist 1/18 wohl Integralrechnung)
das Konkrete (die Einteilung) (nie abstrakte, nur konkrete Universalien) ;;die Form (2/3) (bin mir 100% sicher) = der Delta-Wert (4/6) („Zeit=Geld“) = Epoche, Ära (4/6) (sehr sicher) = der Betrag (6/9) (sehr sicher) = Statik (in allen Wissenschaften) (8/12) (größtenteils sicher) =  das Schematisierbare ([1/3]/[1/2]) = der Schein [(1/6)/(1/4)] (100% sicher) = die (z.B. Physik oder BWL, etc.) Formel und das Formulierbare [(1/9)/(1/6)] (ziemlich sicher);;"Der Bestandteil von etwas Ganzem oder eine Vielzahl von etwas Ganzen oder das Ganze selbst (2/5) (ich bin mir sehr sicher), weil das Konkrete (2) kleiner, größer, gleich dem Ganzen (5) sein kann. ; Quotient, Divident, Divisor als Zahlen (6/15) (unsicher, könnte nämlich auch 2/15 sein, dann aber als etwas allgemeiners als Zahlen)";;"Woher (Unglück), wohin (Glück) und der Weg dazwischen; als Komponenten (2) der „Richtung (7)“ (sicher) (2/7) (fehlt noch die mathematische Entsprechung),  Mixtur (unsicher) (4/14); Rangordnung (6/21)";;der Teil (2/9) (fast total sicher);;;;;;;;;
Existenz;der Inhalt (3/2) (bei Inhalt bin ich mir 100% sicher) = der Verlauf (6/4) („Zeit=Geld“) (wahrscheinlich das) = die kostbare Fülle (6/4) („Zeit=Geld“) (eher Galaxieartig als Universumartig) = Zugehörigkeit (9/6) (müsste es eigentlich sein) = Automatismus (12/8) (passt gut) = das was „zwischen den Zeilen“ steht (15/10) (stimmt wahrscheinlich) = das von welchem man einen Inhaltsangabe machen kann  [(1/2)/(1/3)] (könnte stimmen) =das Gegenstück zum Schein: das Sein, (aber nicht das von 8. Sein und Zustand) sondern [(1/4)/(1/6)] (sicher) = das Thematisierbare [(1/6)/(1/9)] (könnte stimmen);;"(evolutionäre) Anpassung (größtenteils sicher) (3 / 4); Stadium, Niveau (6/8) (größtenteils sicher), Plastizität und Elastizität und Bruchsicherheit [(1/4)/(1/3)] (halbwegs sicher), Mengeneinheit (Stück, Dutzend) (9/12) (müsste eigentlich stimmen) und Cluster einer Datamining-Cluster-Analyse (9/12) (müsste eigentlich stimmen), Minimalismus [(1/8)/(1/6)] (das passt gut), Analysis-Funktions-Arten (sogenannte  Charakteristische Eigenschaften von Funktionen) (12/16) (das kann passen) und Arbeitsberufsarten (12/16) (das kann passen); Zuständigkeit [(1/16)/(1/12)]";Relevanz (6/10), Signifikanz (3/5), Anhaltspunkt (9/15) (ich bin mir 85% sicher);;"Vorhandensein von einem Pfad zu einem Ziel, mathematisch: die Verknüpfung (3/7) (größtenteils sicher);  Werte aus Kombinationen, z.B. Summanden und Produkte (6/14) (größtenteils sicher); Abteilung (9/21) (unsicher)";Umstand (halb sicher) (3/8), Situation (unsicher) (6/16);;;;;;;;;;
Veränderung (Zeit[-achse]);;Lebenszyklen, Verschleiß, Verschleiß umkehren, Generationswechsel (4/3) (größtenteils sicher), Verfassung (Zustand von Werten) (8/6) (größtenteils sicher), Eigenschaften von Einheiten (12/9) (Kraft ist z.B. anders als Ladung) (unsicher), Grundsatz (wie Axiom) [(1/6)/(1/8)] (größtenteils sicher);;"Klimaveränderung, Reifprozess (4/5) (unsicher); Formulierungen einer Sprache aus der Chomsky-Hierarchie  (8/10) (halbwegs sicher)";;Lenkungsauswirkung, Drallauswirkung, Auswirkung, Effekt (größtenteils sicher) (4/7);;;;;;;;;;;
Ganzheit, mathematisch: diskret, atomar/elementar;"Vollständigkeit (5/2) (sicher); Naturgesetze der Art Gleichungen pro Zeitachse (10/4) (halbwegs sicher)";Kontext (5/3) (halb sicher), Angemessenheit (Richtigkeit einer Zahl) (10/6) (halb sicher), Bezug und Zusammenhang (15/9) (unsicher);"Kreislauf, daher auch Naturgleichgewicht und Ungleichgewicht oder vollständige Transformation (5/4) (halb bis größtenteils sicher); Aussagen durch Grammatiken aus der Chomsky-Hierarchie über Automaten (10/8) (größtenteils sicher)";;"der Absolutbetrag (5/6) (größtenteils sicher); Fragen nach Mächtigkeiten von Mengen, Extensionalität und Gleichheit (10/12) (größtenteils sicher)";vom Beginn bis zum Ziel, gesamter Abschnitt (5/7), Lösungswege z.B. in Mathe (10/14), d.h. ob die Kombination die richtige Kombination ist, ist fast das gleiche, wie ob man in Mathe den richtigen Lösungsweg hat, Denkansätze bis zur geistigen Verarbeitung (15/21), das geschaffene (geistige) Werk (semantischi-linguistisch) (zu allem: ich bin mir sehr sicher);;;;;;;;;;;
Wert;;;;"Prozent oder Promille (6/5) (größtenteils sicher); die Mengen zugehörig zu einer Mächtigkeit oder einer Gleichheit von Mengen oder zu einem delta Extensionalitätsunterschied (12/10) (größtenteils sicher)";;SQL-relationales Mapping (18/21), Zusammenfassungsmethoden als Rechnungen zu Ergebnis (umgekehrte Algebra) (12/14), Wahl eines Wertes mit seiner Höhe (6/7) (glaube ich sehr);;;;;;;;;;;
das Gute, mathematisch: die Richtung;"das Gut, Bewegung (7/2), wie bei Flaschenzug, Motor oder Flaschenzug Veränderungen zu kombinieren (14/4); Aufwand (21/6)";"Fortschritt (allgemein) (7/3) (halbwegs sicher); Kombinationen aus Werten zu Summe oder Produkt oder Betrag (14/6) (halbwegs sicher)";Bewirkung, Lenkungsbewirkung, Drallbewirkung (ich denke, dass es das ist);alle Pfade  in einer Angelegenheit (z.B. einem Labyrinth) (7/5) (größtenteils sicher), der Spin eines Elementarteilchens (auch 7/5) (sicher), Rechenvarianten mit beliebigem Ziel und beliebigem Anfang und keiner festen Aufgabe (14/10), Thema in das sich ein geistig tief in sich Versunkener vertieft (21/15) (ich bin mir fast 100% sicher);konkrete Algebra (7/6), abstrakte Algebra (14/12), relationale Algebra (21/18) (ich bin mehr als sehr 100% sicher, fehlt noch die allgemeinsprachliche oder philosophische oder semantische Entsprechung), algebraische Topologie (28/24) (unsicher);;;;Die Folgerichtung (welche Richtung ergibt sich aus der Wirklichkeit) (7/10);;;;;;;;
das Sein, d.h. also der Zustand (den gibt es auch in der theoretischen Informatik), mathematisch gehören dazu: Dimensionen (ohne mehr, also z.B. ohne eine Metrik oder Zahlen auf den Dimensionen);;"der gesamtweltliche Hintergrund von Sachumständen (halb sicher) (8/3); das Fachgebiet (halb sicher) (16/6)";;;;;;;;;;;;;;;
Einheit (math.: Menschengruppe, Maßeinheit, etwas bezüglich Monoid, Zusammenfassung);;;;;;;;;;;;;;;;;
Wahrheit, Wirklichkeit, („Aktualität“ ist philosophischer Terminus für Wirklichkeit);;;;;Kontext (5/3), Beimessung (zusprechen, zuerkennen, attribuieren) (10/6), Bezug und Zusammenhang (15/9) (ich denke das ist es);die Konsequenzwirklichkeit (welche Wirklichkeit ergibt sich aus der Richtung) (10/7);;;;;;;;;;;
