;Lebewesen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Beruf (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Kreativität und Intelligenz und andere Geisteskräfte (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Liebe (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;;Männer / Frauen (IMHO) (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);evolutionär erwerben  (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Religionen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Motive (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;Emotionen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);Berühmtheiten und Personen (Vorzeichen: das bedeutet nicht Gegentranszendentalien, sondern Gutartigkeit oder Bösartigkeit anderen Religionen gegenüber);;;kombinierte Wirtschaftssysteme
7;;;bloßes Verallgemeinern, ohne Sicherheit, ob es stimmt, deshalb nur Glaube;;;;;;;;;;;;;
5|9;Katze;Berufe für die Allgemeinheit;;jeden zum Fressen gern haben;;;;Anmut;;für die Allgemeinheit pro eingestellt zu sein;;;;;;
5|9|13;Katze der Zukunft;Arzt, Krankenschwester, Pfleger, Sozialarbeiter, Volunteer z.B. für dritte Welt-Länder;;;;;;;;;;;;;;
10;"Rabe, Krähe, Greifvogel, Esel, Fledermaus; alle Tiere, die in der Lage sind Freundschaften aufzubauen";M.I.N.T.: Mathematiker, Informatiker, Naturwissenschaftler, Techniker;;;;;;;;;;;;;;
10|7;Pfau (+7 mit +10), Schwan (+7 mit +10), Delphin (vielleicht -7 mit +10, unbekannt welche Vorzeichen);Laufsteg-Model, Architekt, Künstler, Musiker (Vorzeichen von „10 mit 7“ nicht eindeutig);mathematische Induktionsverfahren und aus der Informatik (die aber auch noch Kombination [14] [z.B. Rechenarten oder Logikrechnungen] und unäre Operation [13] benötigen würden);Partnerschaftsliebe;;;;;;Liebesbeziehung, Schöngeistiges;;;;;;Wirtschaftssystem mit, anstelle von Geld aus Zahlen, Geld aus Richtungsvektoren mit Wahrheitswerten statt Zahlenwerten als Betrag
11;Kanarienvögel, die dich nachmachen, wie Pappagei oder Wellensittich;Systemtheoretiker, Darsteller, Schauspieler, Comedian;;;;;;;;;;;;;;
5|9|19;Katzenaußerirdische (haben aber noch höhere Zahlen);;;;;;;;;;;;;;;
5;"wahrscheinlich alle Tiere mit Hörnern, wie Hirsch; manche Reptilien, wie das Krokodil";Lehrer, Professor, TV-Star, Musikstar, Influencer, Kommunist;;;;;;;;;;;;;;
7|9;wahrscheinlich eher falsch: Schafe, Ziegen (ich weiß es nicht);Nicht kommerzielle Berufe / Vereine;;;;;;;;;;;;;;
1;Mikroorganismen;Zauberkünstler;;;;;;;;;;;;;;
9;Hase;;;;;;;;;;;;;;;
7|12;;;"Ordnungssystem (sicher); computergenerierte Welten bis hin nahe unendlich nur basierend auf Containerdatenstrukturen ;abstrakte Induktionsverfahren (meta-systemisch), die es erst in 1000 Jahren geben wird, höher als Mathematik, keine Mathematik";;;;;;;;;;;;;
7|6;;;verallgemeinern über Abduktionen und Abduktionen über Verallgemeinerungen, Weisheiten übergreifen können;;;;;;;;;;;;;Wirtschaftssystem mit, anstelle von Geld aus Zahlen, Geld aus Richtungsvektoren mit Zahlenwerten als Betrag
7|5;;;verallgemeinern über Axiome;;;;;;;mehr als nur akzeptiert werden wollen: zugelassen werden wollen, z.B. als Informationsautorität;;;;;;
7|9;;;verallgemeinern über Implikationen und Implikationen von Verallgemeinerungen, z.B. KI-Vollständigkeit;;;;;Liebreiz;;;;;;;;
7|8;;;die Zustände verallgemeinern zu können und dadurch Realitäten (in der echten Wirklichkeit) bilden und erfassen können (für politische Ideologien oder realistische Filme);Situationsliebe;;;;;;;;;;;;
7|14;;;"Abstrakt-Syntaxtree (AST) (sicher), Terminduktion (sicher), und vergleichbare Konzepte;induktives Problemlösen in 2000 Jahren";;;;;;;;;;;;;
9|10;;;Vollkommenheit in der Wirklichkeit hinter der Realität;;;;;;;;fertig-bekommen (größtenteils sicher) (weil Zweck [9] + Wirklichkeit [10]) (ist eine Form der Vollkommenheit);;;;;
5|6;;;;;;;;;;besonders sein wollen;;;;;;soziale Marktwirtschaft, wahrscheinlich auch chinesischer real existierender Sozialismus
5|11;;;;;;;;;;;;;;;;
10|5;;;richtige Axiome;;;;;;;;;;;;;
6|8;;;;;;;;;;Abgebrühtheit, Unnaivität, Abgestumpftheit und sanft zu ihrer Nation bei 6 mit 8 | bei 1/8 mit 6 (China, Japan) sanft und zielgerichtet bestimmt in der Kultur aber abgebrüht, unnaiv, abgestumpft pro ihre Nation gegen andere Nationen, sehr bestimmt soziales miteinander | bei 8 mit 1/6 fiktiv möglicherweise: sanft und zielgerichtet bestimmt mit ihrer Region und ihrer Leistung, aber abgebrüht, unnaiv, abgestumpft im globalen Wettbewerb der Leistung, sehr bestimmt in der Gerechtigkeit für jeden im Kulturkreis | 1/6 mit 1/8 fiktiv möglicherweise: kollektiv sehr bestimmt in der Strategie und im kollektivem Wettstreit, der Schaffenskraft, mit anderen Nationen, aber sanft bestimmt kollegial zielgerichtet untereinander, strategisch und wachstumsorientiert vorranging bei der Nation und Kultur und weniger bei sich und seinen Mitbürgern, aber dadurch indirekt doch;;;;;;
5|5;;;;;;;;;;;;;;;;
9|9;;;;;;;;;;;;;;;;
7|7;;;;;;;;;;;;;;;;
8|9;;;;;;;;;;Errungenschaft (fast sicher) bekommen wollen, egal auf welchem Wege;;;;;;
-10|-6|+7;Elefant;;;;;;;;;;;;;;;
6|9;;;;;;;;wahrscheinlich „gehoben“ sein;;intrinsisch erfolgreich sein wollen;;;;;;
10|7|8;;;;;;;;;;;;;;;;
10|5|8;;;;;;;;;;;;;;;;
10|8|9;;;;;;;;;;;;;;;;
10|8|3|7;;;;;;;;;;;;;;;;
10|6|5|5;;;;;;;;;;;;;;;;
14|15;;;Vollkommenheit in der Transzendenz (Transzendentalien, Strukturalien, Existenzialen, Universalien, usw.);;;;;;;;;;;;;
10|14;;;;;;;;;;;;;;;;
10|14|15;;;;;;;;;;;;;;;;
10|14|15|13;;;;;;;;;;;;;;;;
