Gegentranszendentalien, Gegenstrukturalien und Transzendentalien, Strukturalien;Meinungsrelation (17)
5;subjektiv
-18;normativ
-19;Moderat – jemand übertreibt nicht
12;ordentlich, sauber (z.B. sauber formuliert)
21;kompetent
10;korrekt
-4|10;eine Ewige Wahrheit
-6;wertfrei
24|5;könnte intersubjektiv bedeuten, wohingegen die 5 auch mit einer anderen Zahl in Kombination intersubjektiv bedeuten könnte
11;vielleicht: kontrovers
9;einheitlich, bzw. konsistenz in der Weise, dass Einheitlichkeit damit gemeint ist
-5;unvollständig, bzw. offen gelassen (weniger als ein Ganzes), oder auch darüber hinausgehend (mehr als ein Ganzes)
