2;3;5;7;11;13;17;19;23;29;31
;;;;;;;;;;
die Absicht (1) das gleiche anzustreben wie jedes Lebewesen;;;;;;;;;;
;Etwas oder jemanden oder eine Sache benutzen stellt die Absicht dar, überleben zu wollen bzw. die deiner 12 Stämme.;;;;;;;;;
Durch das Machen (4) das gleiche anstreben können, wie jedes andere Lebewesen oder dadurch fähig zu sein das gleiche anzustreben;;;;;;;;;;
;;Durch Selbstsucht (5) beabsichtigt man die Unversehrtheit (5*n);;;;;;;;
Durch den Vorteil (6) nutzen (3) das gleiche anzustreben, wie jedes andere Lebewesen oder dadurch fähig sein allgemein nutzen zu können;Vorteile ermöglichen (2) das Überleben bzw. das deines Volkes;;;;;;;;;
;;;Selbstlosigkeit (7) ist eine Art der Absicht zum Guten, relevant zum Anführer sein;;;;;;;
Durch die Selbstgerechtigkeit (8) machen (4), dass alle das gleiche anstreben oder dadurch fähig sein was auch immer zu tätigen;;;;;;;;;;
;Zweckorientiertheit und Zweckdenken nützt (3) dem Überleben bzw. das der Nationen der Erde.;;;;;;;;;
Die Selbstliebe (10) und Wahrheit (10)   gilt (5) insofern, dass angestrebt wird, was alle Lebewesen anstreben oder ermöglicht, dass man unversehrt bleibt und auf sich achten kann;;Durch Freundschaft (10) und Selbstliebe (10) denen die Transzendentalie Wahrheit (10) zugrunde liegt, kann man unversehrt bleiben, wenn man das überhaupt wollen würde (1*5);;;;;;;;
;;;;Sexuell-spielerische Liebe als eines von mehreren Streben zu Andersartigkeit ist die Absicht des Verstehen-Wollens, so wie alle Arten des Strebens zu Andersartigkeit;;;;;;
Das Ordnungsstreben (12) auf das wesentliche und substanzielle macht, dass man fähig ist, wertvoll zu sein oder dass man so wertvoll ist, dass man fähig ist;Durch ordnen, sortieren und Sachlichkeit macht man, dass man überlebt bzw. dass die Erde überlebt.;;;;;;;;;
;;;;;Die schwarze Sonne ist eine von mehreren Möglichen Formen des Verneinens und Negierens und der unären Operationen, die Absicht Evolution umzukehren;;;;;
Durch Ich-losigkeit (14), Kombinieren und Problemlössen, kann man gut sein und ist man so gut, dass man fähig ist;;;Ich-Losigkeit (14) ist eine Art des im Außen Kominieren-können (14), wodurch mal letztendlich gut sein kann (2*7), wenn man das wollen würde (1*7);;;;;;;
;Durch Selbstrespekt gilt das Überleben bzw. dass das Universum bestehen bleibt bzw. die Galaxien.;Selbstrespekt (16) und Reflexivität zu sich selbst (15) nutzt man, um unversehrt zu bleiben;;;;;;;;
Durch Selbstgenügsamkeit (16) kann man sein Recht einfordern und fordert man sein Recht ein, fähig zu sein;;;;;;;;;;
;;;;;;Die Absicht (1) der Abneigung (17);;;;
Die Zuneigung (18) macht, dass alle einheitlich (9) das anstreben, was alle Lebewesen anstreben und dass man als Einheit fähig ist;Durch Zuneigung (18) hat man den Vorteil (6), dass man überlebt;;;;;;;;;
;;;;;;;Nur Absicht (1): Kinder bekommen wollen von dem / den Besten in der ganzen Welt, nur als Absicht, d.h. es wird schwer, dass man das kann. Das läuft wohl auf Transzendenz-Senden-Spaming hinaus.;;;
Durch Liebe zur Familie als Ganzes (20) (statt zu einzelnen Famlienmitgliedern) kann man sich lieben, Freundschaften knüpfen und in der Wahrheit sein und ehrlich sein und es ist wahr, dass man fähig ist und man ist Freund von Fähigkeiten;;Liebe zu Familie als Ganzes (20) macht (4) unversehrt bzw. entwickelt (4) Unversehrt-bleiben;;;;;;;;
;Durch tiefe Widmung und Hingabe [Über-Ich-Losigkeit (21) (keine Notwendigkeit von Moral, Sitte, etc.)] ist man auf die Art selbstlos, dass man überlebt.;;Durch Über-Ich-Losigkeit (21) (keine Notwendigkeit von Moral, Sitte, etc.) ist man befähigt etwas zu Nutzen, um geeignet als Anführer zu sein (7*n);;;;;;;
Durch die tiefer Verbundenheit kann man spielerisch leugnendes Erfassen (22) und durch sie erfässt man spielerisch leugnend, damit man das anstreben kann, was alle Lebewesen anstreben;;;;Verstehen-können: gegenseitige Integrität u.a. enby sein - bzw. totales Wissen der weiblichen sowie der männlichen sowie der kindlichen Perspektive Drittes Auge haben bzw. siebter Sinn Unsere 4 Extremitäten (Hände und Füße) quasi wie mit einem Exoskelett etc. verbessern. besser sehen können z.B. durch Technologie, etc.;;;;;;
;;;;;;;;keine Absicht (1) mehr brauchen, um Kinder zu bekommen (Nicht der Mond 4. Der ist ähnlich. 23 ist eine Sonne und sogar eine Primzahlsonne);;
Durch gegenseitiges Verständnis (24) strebt man die höhere Ordnung an, derer alle Lebewesen unterliegen und dadurch ist man fähig diese anzustreben;Durch gegenseitiges Verständnis kann man trotz Selbstgerechtigkeit überleben;;;;;;;;;
;;Die Liebe zum Freundeskreis als Gesamtheit statt einzelner Freunde macht, dass deine Unversehrtheit (5*n) gilt (5);;;;;;;;
Damit ist man fähig zu helfen und man hilft, dass andere fähig sind;;;;;Wenn die Überzüchtung umgekehrt werden kann (26), falls man das überhaupt wollte (falls 13), dann kann man Evolution umkehren.;;;;;
;Durch Auflösen von Livelocks und Deadlocks von Transzendenz Peer to Peer Verbindungen, wie bei paralleler Programmierung (27), d.h. Loslösung, kann man als Einheit (9) zusammen überleben;;;;;;;;;
Wenn man Menschen zu Anführern macht (28), dann bewirkt man durch Kombinationsfähigkeit Probleme zu lösen und dann Kombiniert man durch Problemlösungen Fähigkeiten;;;Wenn man Menschen zu Anführern macht (28), dann macht sich damit geeignet anzuführen (7*n);;;;;;;
;;;;;;;;;Absicht (1) Kinder machen so genetisch, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30) in sich kehren und respekt zu sich zu haben als Fähigkeit oder die Fähigkeit erwerben ins ich zu kehren und respektvoll zu sich zu sein;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), hat man die Wahrheit (10) zum freundschaftlichen (10) Überleben;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), unversehrt bleiben;;;;;;;;
;;;;;;;;;;Absicht (1): Kinder keinesfalls von den besten Transzendenten zeugen lassen, sondern von normalen Menschen (wobei diese dann wohl auch Transzendenz haben, durch voran gegangene Züchtungen).
Aus Selbstherrlichkeit (32)  die Fähigkeit zur Selbstgenügsames (16) haben und Selbstgenügsam sein, um alles mehr gleich zu werden;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch materiellen Nachteil (36), fähig zur Zuneigung sein und zugeneigt sein zu dem was alle anstreben;Durch materiellen Nachteil (36), der vielleicht sogar hier angestrebt wird, hat man eine Ordnung mit der man überlebt;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Durch Selbstlos zu Selbstlosen sein (49) multipliziert sich die gute Absicht, sofern diese absichtvollen Menschen überhaupt das Gute bewirken können, wodurch man selbst als Anführer geeignet sein kann;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Kinder so genetisch machen können, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert,aber mit viel Mühe der Eltern.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Aus Ignoranz (64) Selbstherrliches anstreben, das alle Lebewesen anstreben;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Durch Zuspitzung (81) kann man sich loslösen (27), zum überleben (3*n);;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Nutzen (3): die Abhängigkeit vom gleichen Geschlecht nutzen. Das Kind ist abhängig von deren Abhängigkeit.  Damit: Kinder so genetisch machen, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch Unterordnung (100), durch Konzept 50 … was alle Lebewesen anstreben;;Durch Unterordnung (100), kann die Familie (20) unversehrt bleiben;;;;;;;;
